Service Name,AWS API/Service to Use,Key Metrics to Collect,Sample API Call/CLI Command,IAM Permissions Required,Monitoring Frequency Recommendation
CloudFront,CloudFront API + CloudWatch,Requests BytesDownloaded BytesUploaded 4xxErrorRate 5xxErrorRate,aws cloudfront list-distributions,cloudfront:ListDistributions cloudfront:GetDistribution cloudwatch:GetMetricStatistics,Every 24 hours
API Gateway,API Gateway API + CloudWatch,Count 4XXError 5XXError Latency IntegrationLatency,aws apigateway get-rest-apis,apigateway:GET cloudwatch:GetMetricStatistics,Every 12 hours
VPC,EC2 API + CloudWatch,N/A,aws ec2 describe-vpcs && aws ec2 describe-subnets,ec2:DescribeVpcs ec2:DescribeSubnets ec2:DescribeRouteTables,Weekly
NAT Gateway,EC2 API + CloudWatch,BytesOutToDestination BytesInFromDestination ActiveConnectionCount PacketsOutToDestination,aws ec2 describe-nat-gateways,ec2:DescribeNatGateways cloudwatch:GetMetricStatistics,Every 6 hours
Elastic Load Balancer,ELB API + CloudWatch,ActiveConnectionCount RequestCount HealthyHostCount UnHealthyHostCount TargetResponseTime,aws elbv2 describe-load-balancers,elasticloadbalancing:DescribeLoadBalancers elasticloadbalancing:DescribeTargetGroups cloudwatch:GetMetricStatistics,Every 6 hours
Route 53,Route 53 API + CloudWatch,DNSQueries HealthCheckStatus ConnectionTime,aws route53 list-hosted-zones && aws route53 list-health-checks,route53:ListHostedZones route53:ListHealthChecks cloudwatch:GetMetricStatistics,Every 24 hours
CloudWatch,CloudWatch API,N/A,aws cloudwatch list-metrics && aws cloudwatch describe-alarms,cloudwatch:ListMetrics cloudwatch:DescribeAlarms cloudwatch:GetMetricStatistics,Weekly
CloudTrail,CloudTrail API + CloudWatch,N/A,aws cloudtrail describe-trails && aws cloudtrail get-trail-status --name TRAIL_NAME,cloudtrail:DescribeTrails cloudtrail:GetTrailStatus cloudwatch:GetMetricStatistics,Weekly
IAM,IAM API,N/A,aws iam list-users && aws iam list-roles,iam:ListUsers iam:ListRoles iam:GetAccountSummary iam:GenerateCredentialReport,Monthly
KMS,KMS API + CloudWatch,N/A,aws kms list-keys && aws kms describe-key --key-id KEY_ID,kms:ListKeys kms:DescribeKey cloudwatch:GetMetricStatistics,Weekly
Secrets Manager,Secrets Manager API + CloudWatch,N/A,aws secretsmanager list-secrets,secretsmanager:ListSecrets secretsmanager:DescribeSecret cloudwatch:GetMetricStatistics,Weekly
SNS,SNS API + CloudWatch,NumberOfMessagesPublished NumberOfNotificationsDelivered NumberOfNotificationsFailed,aws sns list-topics && aws sns get-topic-attributes --topic-arn TOPIC_ARN,sns:ListTopics sns:GetTopicAttributes cloudwatch:GetMetricStatistics,Every 12 hours
SQS,SQS API + CloudWatch,NumberOfMessagesSent NumberOfMessagesReceived NumberOfMessagesDeleted ApproximateNumberOfMessagesVisible,aws sqs list-queues && aws sqs get-queue-attributes --queue-url QUEUE_URL --attribute-names All,sqs:ListQueues sqs:GetQueueAttributes cloudwatch:GetMetricStatistics,Every 12 hours
Kinesis,Kinesis API + CloudWatch,IncomingRecords IncomingBytes GetRecords.Success IteratorAgeMilliseconds,aws kinesis list-streams && aws kinesis describe-stream --stream-name STREAM_NAME,kinesis:ListStreams kinesis:DescribeStream cloudwatch:GetMetricStatistics,Every 6 hours
Athena,Athena API + CloudWatch,DataScannedInBytes EngineExecutionTime,aws athena list-query-executions,athena:ListQueryExecutions athena:GetQueryExecution cloudwatch:GetMetricStatistics,Every 24 hours
Glue,Glue API + CloudWatch,glue.driver.jvm.heap.usage glue.driver.aggregate.numCompletedTasks,aws glue get-jobs && aws glue get-job-runs --job-name JOB_NAME,glue:GetJobs glue:GetJobRuns cloudwatch:GetMetricStatistics,Every 24 hours
EMR,EMR API + CloudWatch,IsIdle CoreNodesRunning YARNMemoryAvailablePercentage,aws emr list-clusters --active && aws emr describe-cluster --cluster-id CLUSTER_ID,emr:ListClusters emr:DescribeCluster cloudwatch:GetMetricStatistics,Every 3 hours
SageMaker,SageMaker API + CloudWatch,ModelLatency Invocations CPUUtilization MemoryUtilization,aws sagemaker list-endpoints && aws sagemaker describe-endpoint --endpoint-name ENDPOINT_NAME,sagemaker:ListEndpoints sagemaker:DescribeEndpoint cloudwatch:GetMetricStatistics,Every 6 hours
Step Functions,Step Functions API + CloudWatch,ExecutionsStarted ExecutionsSucceeded ExecutionsFailed ExecutionThrottled,aws stepfunctions list-state-machines && aws stepfunctions describe-state-machine --state-machine-arn STATE_MACHINE_ARN,states:ListStateMachines states:DescribeStateMachine cloudwatch:GetMetricStatistics,Every 12 hours
EFS,EFS API + CloudWatch,DataReadIOBytes DataWriteIOBytes ClientConnections BurstCreditBalance,aws efs describe-file-systems,elasticfilesystem:DescribeFileSystems cloudwatch:GetMetricStatistics,Every 24 hours
FSx,FSx API + CloudWatch,DataReadBytes DataWriteBytes StorageCapacity FreeStorageCapacity,aws fsx describe-file-systems,fsx:DescribeFileSystems cloudwatch:GetMetricStatistics,Every 24 hours
Backup,Backup API + CloudWatch,NumberOfBackupJobsCreated NumberOfBackupJobsCompleted NumberOfBackupJobsFailed,aws backup list-backup-jobs && aws backup list-backup-vaults,backup:ListBackupJobs backup:ListBackupVaults cloudwatch:GetMetricStatistics,Every 24 hours
CloudFormation,CloudFormation API,N/A,aws cloudformation list-stacks && aws cloudformation describe-stacks,cloudformation:ListStacks cloudformation:DescribeStacks,Weekly
Config,Config API + CloudWatch,N/A,aws configservice describe-configuration-recorders && aws configservice describe-config-rules,config:DescribeConfigurationRecorders config:DescribeConfigRules cloudwatch:GetMetricStatistics,Weekly
Systems Manager,Systems Manager API + CloudWatch,N/A,aws ssm describe-instance-information && aws ssm list-documents,ssm:DescribeInstanceInformation ssm:ListDocuments cloudwatch:GetMetricStatistics,Weekly
WorkSpaces,WorkSpaces API + CloudWatch,CPUUsage MemoryUsage ConnectionAttempt ConnectionSuccess,aws workspaces describe-workspaces,workspaces:DescribeWorkspaces cloudwatch:GetMetricStatistics,Every 6 hours
AppStream,AppStream API + CloudWatch,ActualCapacity AvailableCapacity CapacityUtilization,aws appstream describe-fleets,appstream:DescribeFleets cloudwatch:GetMetricStatistics,Every 6 hours
Direct Connect,Direct Connect API + CloudWatch,ConnectionBpsEgress ConnectionBpsIngress ConnectionState,aws directconnect describe-connections,directconnect:DescribeConnections cloudwatch:GetMetricStatistics,Every 24 hours
VPN,EC2 API + CloudWatch,TunnelDataIn TunnelDataOut TunnelState,aws ec2 describe-vpn-connections,ec2:DescribeVpnConnections cloudwatch:GetMetricStatistics,Every 24 hours
Transit Gateway,EC2 API + CloudWatch,BytesIn BytesOut PacketsIn PacketsOut PacketDropCountBlackhole,aws ec2 describe-transit-gateways,ec2:DescribeTransitGateways cloudwatch:GetMetricStatistics,Every 6 hours
DocumentDB,DocDB API + CloudWatch,CPUUtilization DatabaseConnections ReadIOPS WriteIOPS FreeableMemory,aws docdb describe-db-clusters && aws docdb describe-db-instances,rds:DescribeDBClusters rds:DescribeDBInstances cloudwatch:GetMetricStatistics,Every 6 hours
Neptune,Neptune API + CloudWatch,CPUUtilization GremlinRequestsPerSec SparqlRequestsPerSec,aws neptune describe-db-clusters && aws neptune describe-db-instances,rds:DescribeDBClusters rds:DescribeDBInstances cloudwatch:GetMetricStatistics,Every 6 hours
Timestream,Timestream API + CloudWatch,SystemErrors UserErrors SuccessfulRequestLatency,aws timestream-write list-databases && aws timestream-write list-tables --DatabaseName DB_NAME,timestream:ListDatabases timestream:ListTables cloudwatch:GetMetricStatistics,Every 12 hours
QLDB,QLDB API + CloudWatch,CommandLatency SystemErrors,aws qldb list-ledgers && aws qldb describe-ledger --name LEDGER_NAME,qldb:ListLedgers qldb:DescribeLedger cloudwatch:GetMetricStatistics,Every 12 hours
Keyspaces,Keyspaces API + CloudWatch,ConsumedReadCapacityUnits ConsumedWriteCapacityUnits SystemErrors UserErrors,aws keyspaces list-keyspaces && aws keyspaces list-tables --keyspace-name KEYSPACE_NAME,cassandra:Select cloudwatch:GetMetricStatistics,Every 6 hours
MemoryDB,MemoryDB API + CloudWatch,CPUUtilization FreeableMemory CacheHits CacheMisses NetworkBytesIn NetworkBytesOut,aws memorydb describe-clusters,memorydb:DescribeClusters cloudwatch:GetMetricStatistics,Every 6 hours
OpenSearch,OpenSearch API + CloudWatch,CPUUtilization FreeStorageSpace JVMMemoryPressure SearchableDocuments IndexingRate SearchRate,aws opensearch list-domain-names && aws opensearch describe-domain --domain-name DOMAIN_NAME,es:ListDomainNames es:DescribeElasticsearchDomain cloudwatch:GetMetricStatistics,Every 6 hours
MSK,MSK API + CloudWatch,BytesInPerSec BytesOutPerSec MessagesInPerSec KafkaAppLogsDiskUsed OfflinePartitionsCount,aws kafka list-clusters && aws kafka describe-cluster --cluster-arn CLUSTER_ARN,kafka:ListClusters kafka:DescribeCluster cloudwatch:GetMetricStatistics,Every 6 hours
EventBridge,EventBridge API + CloudWatch,MatchedEvents FailedInvocations ThrottledRules Invocations,aws events list-rules && aws events list-event-buses,events:ListRules events:ListEventBuses cloudwatch:GetMetricStatistics,Every 12 hours
AppFlow,AppFlow API + CloudWatch,FlowExecutionsStarted FlowExecutionsFailed FlowExecutionRecordsProcessed,aws appflow list-flows && aws appflow describe-flow --flow-name FLOW_NAME,appflow:ListFlows appflow:DescribeFlow cloudwatch:GetMetricStatistics,Every 24 hours
DataSync,DataSync API + CloudWatch,BytesTransferred FilesTransferred,aws datasync list-tasks && aws datasync describe-task --task-arn TASK_ARN,datasync:ListTasks datasync:DescribeTask cloudwatch:GetMetricStatistics,Every 24 hours
Transfer Family,Transfer Family API + CloudWatch,BytesIn BytesOut FilesIn FilesOut,aws transfer list-servers && aws transfer describe-server --server-id SERVER_ID,transfer:ListServers transfer:DescribeServer cloudwatch:GetMetricStatistics,Every 24 hours
Storage Gateway,Storage Gateway API + CloudWatch,CacheUsed CacheHitPercent ReadBytes WriteBytes,aws storagegateway list-gateways && aws storagegateway describe-gateway-information --gateway-arn GATEWAY_ARN,storagegateway:ListGateways storagegateway:DescribeGatewayInformation cloudwatch:GetMetricStatistics,Every 24 hours
Lightsail,Lightsail API + CloudWatch,CPUUtilization NetworkIn NetworkOut StatusCheckFailed,aws lightsail get-instances && aws lightsail get-instance --instance-name INSTANCE_NAME,lightsail:GetInstances lightsail:GetInstance cloudwatch:GetMetricStatistics,Every 6 hours
CodeBuild,CodeBuild API + CloudWatch,Builds SucceededBuilds FailedBuilds Duration,aws codebuild list-projects && aws codebuild batch-get-projects --names PROJECT_NAME,codebuild:ListProjects codebuild:BatchGetProjects cloudwatch:GetMetricStatistics,Every 24 hours
CodePipeline,CodePipeline API + CloudWatch,PipelineExecutionAttempts SucceededPipelineExecutions FailedPipelineExecutions,aws codepipeline list-pipelines && aws codepipeline get-pipeline --name PIPELINE_NAME,codepipeline:ListPipelines codepipeline:GetPipeline cloudwatch:GetMetricStatistics,Every 24 hours
CodeDeploy,CodeDeploy API + CloudWatch,N/A,aws deploy list-applications && aws deploy list-deployments,codedeploy:ListApplications codedeploy:ListDeployments cloudwatch:GetMetricStatistics,Every 24 hours
CodeCommit,CodeCommit API + CloudWatch,N/A,aws codecommit list-repositories,codecommit:ListRepositories cloudwatch:GetMetricStatistics,Weekly
CodeArtifact,CodeArtifact API + CloudWatch,N/A,aws codeartifact list-domains && aws codeartifact list-repositories,codeartifact:ListDomains codeartifact:ListRepositories cloudwatch:GetMetricStatistics,Weekly
ECR,ECR API + CloudWatch,N/A,aws ecr describe-repositories && aws ecr describe-images --repository-name REPO_NAME,ecr:DescribeRepositories ecr:DescribeImages cloudwatch:GetMetricStatistics,Weekly
Amplify,Amplify API + CloudWatch,Requests BytesDownloaded Latency 4xxErrors 5xxErrors,aws amplify list-apps && aws amplify get-app --app-id APP_ID,amplify:ListApps amplify:GetApp cloudwatch:GetMetricStatistics,Every 24 hours
Cloud9,Cloud9 API,N/A,aws cloud9 list-environments && aws cloud9 describe-environments --environment-ids ENV_ID,cloud9:ListEnvironments cloud9:DescribeEnvironments,Monthly
X-Ray,X-Ray API + CloudWatch,N/A,aws xray get-groups && aws xray get-sampling-rules,xray:GetGroups xray:GetSamplingRules cloudwatch:GetMetricStatistics,Weekly
GuardDuty,GuardDuty API + CloudWatch,N/A,aws guardduty list-detectors && aws guardduty get-detector --detector-id DETECTOR_ID,guardduty:ListDetectors guardduty:GetDetector cloudwatch:GetMetricStatistics,Weekly
Macie,Macie2 API + CloudWatch,N/A,aws macie2 list-classification-jobs && aws macie2 get-macie-session,macie2:ListClassificationJobs macie2:GetMacieSession cloudwatch:GetMetricStatistics,Weekly
Security Hub,Security Hub API + CloudWatch,N/A,aws securityhub describe-hub && aws securityhub list-findings,securityhub:DescribeHub securityhub:ListFindings cloudwatch:GetMetricStatistics,Weekly
Inspector,Inspector2 API + CloudWatch,N/A,aws inspector2 list-findings && aws inspector2 batch-get-account-status,inspector2:ListFindings inspector2:BatchGetAccountStatus cloudwatch:GetMetricStatistics,Weekly
Detective,Detective API + CloudWatch,N/A,aws detective list-graphs && aws detective list-members --graph-arn GRAPH_ARN,detective:ListGraphs detective:ListMembers cloudwatch:GetMetricStatistics,Weekly
WAF,WAF API + CloudWatch,AllowedRequests BlockedRequests CountedRequests,aws wafv2 list-web-acls --scope REGIONAL && aws wafv2 list-web-acls --scope CLOUDFRONT,wafv2:ListWebACLs cloudwatch:GetMetricStatistics,Every 24 hours
Shield,Shield API + CloudWatch,DDoSAttackBitsPerSecond DDoSAttackPacketsPerSecond DDoSAttackRequestsPerSecond,aws shield describe-protection && aws shield list-attacks,shield:DescribeProtection shield:ListAttacks cloudwatch:GetMetricStatistics,Every 24 hours
Firewall Manager,Firewall Manager API,N/A,aws fms list-policies && aws fms get-admin-account,fms:ListPolicies fms:GetAdminAccount,Weekly
Network Firewall,Network Firewall API + CloudWatch,DroppedPackets PassedPackets BlockedFlow AllowedFlow,aws network-firewall list-firewalls && aws network-firewall describe-firewall --firewall-name FIREWALL_NAME,network-firewall:ListFirewalls network-firewall:DescribeFirewall cloudwatch:GetMetricStatistics,Every 6 hours
Certificate Manager,ACM API + CloudWatch,N/A,aws acm list-certificates && aws acm describe-certificate --certificate-arn CERT_ARN,acm:ListCertificates acm:DescribeCertificate cloudwatch:GetMetricStatistics,Monthly
Organizations,Organizations API,N/A,aws organizations list-accounts,organizations:ListAccounts organizations:DescribeOrganization,Monthly
Control Tower,Control Tower API + CloudWatch,N/A,aws controltower list-landing-zones && aws controltower list-managed-accounts,controltower:ListLandingZones controltower:ListManagedAccounts,Monthly
Service Catalog,Service Catalog API + CloudWatch,N/A,aws servicecatalog list-portfolios && aws servicecatalog list-products,servicecatalog:ListPortfolios servicecatalog:ListProducts cloudwatch:GetMetricStatistics,Monthly
License Manager,License Manager API + CloudWatch,N/A,aws license-manager list-licenses && aws license-manager list-resource-inventory,license-manager:ListLicenses license-manager:ListResourceInventory cloudwatch:GetMetricStatistics,Monthly
Trusted Advisor,Trusted Advisor API,N/A,aws trustedadvisor list-checks && aws trustedadvisor get-check-summary,trustedadvisor:ListChecks trustedadvisor:GetCheckSummary,Weekly
Compute Optimizer,Compute Optimizer API,N/A,aws compute-optimizer get-enrollment-status && aws compute-optimizer get-ec2-instance-recommendations,compute-optimizer:GetEnrollmentStatus compute-optimizer:GetEC2InstanceRecommendations,Weekly
Cost Explorer,Cost Explorer API,N/A,"aws ce get-cost-and-usage --time-period Start=START_DATE,End=END_DATE --granularity DAILY --metrics BlendedCost",ce:GetCostAndUsage ce:GetCostForecast,Weekly
Budgets,Budgets API + CloudWatch,N/A,aws budgets describe-budgets --account-id ACCOUNT_ID,budgets:ViewBudget cloudwatch:GetMetricStatistics,Monthly
Grafana,Grafana API + CloudWatch,N/A,aws grafana list-workspaces && aws grafana describe-workspace --workspace-id WORKSPACE_ID,grafana:ListWorkspaces grafana:DescribeWorkspace cloudwatch:GetMetricStatistics,Every 24 hours
Prometheus,AMP API + CloudWatch,N/A,aws amp list-workspaces && aws amp describe-workspace --workspace-id WORKSPACE_ID,aps:ListWorkspaces aps:DescribeWorkspace cloudwatch:GetMetricStatistics,Every 24 hours
DevOps Guru,DevOps Guru API + CloudWatch,N/A,aws devops-guru list-insights --status-filter Type=ONGOING && aws devops-guru describe-account-health,devops-guru:ListInsights devops-guru:DescribeAccountHealth cloudwatch:GetMetricStatistics,Weekly
Resilience Hub,Resilience Hub API,N/A,aws resiliencehub list-apps && aws resiliencehub describe-app --app-arn APP_ARN,resiliencehub:ListApps resiliencehub:DescribeApp,Monthly
Fault Injection Simulator,FIS API + CloudWatch,N/A,aws fis list-experiments && aws fis list-experiment-templates,fis:ListExperiments fis:ListExperimentTemplates cloudwatch:GetMetricStatistics,Monthly
Incident Manager,SSM Incident Manager API + CloudWatch,N/A,aws ssm-incidents list-incidents && aws ssm-incidents list-response-plans,ssm-incidents:ListIncidents ssm-incidents:ListResponsePlans cloudwatch:GetMetricStatistics,Weekly
FinSpace,FinSpace API + CloudWatch,N/A,aws finspace list-environments && aws finspace get-environment --environment-id ENV_ID,finspace:ListEnvironments finspace:GetEnvironment cloudwatch:GetMetricStatistics,Every 24 hours
HealthLake,HealthLake API + CloudWatch,N/A,aws healthlake list-fhir-datastores && aws healthlake describe-fhir-datastore --datastore-id DATASTORE_ID,healthlake:ListFHIRDatastores healthlake:DescribeFHIRDatastore cloudwatch:GetMetricStatistics,Every 24 hours
HealthOmics,HealthOmics API + CloudWatch,N/A,aws omics list-sequence-stores && aws omics list-workflows,omics:ListSequenceStores omics:ListWorkflows cloudwatch:GetMetricStatistics,Every 24 hours
HealthImaging,HealthImaging API + CloudWatch,N/A,aws medical-imaging list-datastores && aws medical-imaging get-datastore --datastore-id DATASTORE_ID,medical-imaging:ListDatastores medical-imaging:GetDatastore cloudwatch:GetMetricStatistics,Every 24 hours
Clean Rooms,Clean Rooms API + CloudWatch,N/A,aws cleanrooms list-collaborations && aws cleanrooms list-memberships,cleanrooms:ListCollaborations cleanrooms:ListMemberships cloudwatch:GetMetricStatistics,Every 24 hours
Entity Resolution,Entity Resolution API + CloudWatch,N/A,aws entityresolution list-schema-mappings && aws entityresolution list-matching-workflows,entityresolution:ListSchemaMappings entityresolution:ListMatchingWorkflows cloudwatch:GetMetricStatistics,Every 24 hours
Data Exchange,Data Exchange API + CloudWatch,N/A,aws dataexchange list-data-sets && aws dataexchange list-subscriptions,dataexchange:ListDataSets dataexchange:ListSubscriptions cloudwatch:GetMetricStatistics,Every 24 hours
Data Firehose,Kinesis Firehose API + CloudWatch,IncomingRecords IncomingBytes DeliveryToS3.DataFreshness FailedConversionToORC,aws firehose list-delivery-streams && aws firehose describe-delivery-stream --delivery-stream-name STREAM_NAME,firehose:ListDeliveryStreams firehose:DescribeDeliveryStream cloudwatch:GetMetricStatistics,Every 6 hours
Pinpoint,Pinpoint API + CloudWatch,N/A,aws pinpoint get-apps && aws pinpoint get-app --application-id APP_ID,mobiletargeting:GetApps mobiletargeting:GetApp cloudwatch:GetMetricStatistics,Every 24 hours
Simple Email Service,SES API + CloudWatch,Send Bounce Complaint Delivery Reject,aws ses list-identities && aws ses get-send-statistics,ses:ListIdentities ses:GetSendStatistics cloudwatch:GetMetricStatistics,Every 24 hours
Chime,Chime API + CloudWatch,N/A,aws chime list-accounts && aws chime get-account --account-id ACCOUNT_ID,chime:ListAccounts chime:GetAccount cloudwatch:GetMetricStatistics,Monthly
Connect,Connect API + CloudWatch,CallsBreachingConcurrencyQuota ContactFlowFatalErrors,aws connect list-instances && aws connect describe-instance --instance-id INSTANCE_ID,connect:ListInstances connect:DescribeInstance cloudwatch:GetMetricStatistics,Every 6 hours
WorkDocs,WorkDocs API + CloudWatch,N/A,aws workdocs describe-instances && aws workdocs describe-users --organization-id ORG_ID,workdocs:DescribeInstances workdocs:DescribeUsers cloudwatch:GetMetricStatistics,Monthly
WorkMail,WorkMail API + CloudWatch,N/A,aws workmail list-organizations && aws workmail describe-organization --organization-id ORG_ID,workmail:ListOrganizations workmail:DescribeOrganization cloudwatch:GetMetricStatistics,Monthly
GameLift,GameLift API + CloudWatch,ActiveInstances DesiredInstances AvailableGameSessions CurrentPlayerSessions,aws gamelift list-fleets && aws gamelift describe-fleet-attributes --fleet-ids FLEET_ID,gamelift:ListFleets gamelift:DescribeFleetAttributes cloudwatch:GetMetricStatistics,Every 6 hours
Managed Blockchain,Managed Blockchain API + CloudWatch,N/A,aws managedblockchain list-networks && aws managedblockchain list-nodes --network-id NETWORK_ID --member-id MEMBER_ID,managedblockchain:ListNetworks managedblockchain:ListNodes cloudwatch:GetMetricStatistics,Every 24 hours
Ground Station,Ground Station API + CloudWatch,N/A,aws groundstation list-satellites && aws groundstation list-contacts,groundstation:ListSatellites groundstation:ListContacts cloudwatch:GetMetricStatistics,Every 24 hours
IoT Core,IoT API + CloudWatch,Connect Disconnect Subscribe Publish RulesExecuted,aws iot list-things && aws iot describe-thing --thing-name THING_NAME,iot:ListThings iot:DescribeThing cloudwatch:GetMetricStatistics,Every 6 hours
IoT Analytics,IoT Analytics API + CloudWatch,N/A,aws iotanalytics list-channels && aws iotanalytics list-pipelines,iotanalytics:ListChannels iotanalytics:ListPipelines cloudwatch:GetMetricStatistics,Every 24 hours
IoT Greengrass,IoT Greengrass API + CloudWatch,N/A,aws greengrassv2 list-core-devices && aws greengrassv2 get-core-device --core-device-thing-name DEVICE_NAME,greengrass:ListCoreDevices greengrass:GetCoreDevice cloudwatch:GetMetricStatistics,Every 24 hours
IoT SiteWise,IoT SiteWise API + CloudWatch,N/A,aws iotsitewise list-assets && aws iotsitewise describe-asset --asset-id ASSET_ID,iotsitewise:ListAssets iotsitewise:DescribeAsset cloudwatch:GetMetricStatistics,Every 24 hours
Lookout for Equipment,Lookout for Equipment API + CloudWatch,N/A,aws lookoutequipment list-datasets && aws lookoutequipment list-inference-schedulers --model-name MODEL_NAME,lookoutequipment:ListDatasets lookoutequipment:ListInferenceSchedulers cloudwatch:GetMetricStatistics,Every 24 hours
Kendra,Kendra API + CloudWatch,IndexQueryCount DocumentSuggestionQueryCount,aws kendra list-indices && aws kendra describe-index --id INDEX_ID,kendra:ListIndices kendra:DescribeIndex cloudwatch:GetMetricStatistics,Every 24 hours
Lex,Lex API + CloudWatch,RuntimeRequestCount RuntimeSuccessfulRequestLatency RuntimeThrottledEvents,aws lexv2-models list-bots && aws lexv2-models list-bot-aliases --bot-id BOT_ID,lex:ListBots lex:ListBotAliases cloudwatch:GetMetricStatistics,Every 24 hours
Polly,Polly API + CloudWatch,RequestCharacters 5XXCount 2XXCount Latency,aws polly describe-voices && aws polly list-speech-synthesis-tasks,polly:DescribeVoices polly:ListSpeechSynthesisTasks cloudwatch:GetMetricStatistics,Every 24 hours
Transcribe,Transcribe API + CloudWatch,N/A,aws transcribe list-transcription-jobs && aws transcribe get-transcription-job --transcription-job-name JOB_NAME,transcribe:ListTranscriptionJobs transcribe:GetTranscriptionJob cloudwatch:GetMetricStatistics,Every 24 hours
Translate,Translate API + CloudWatch,CharacterCount ResponseTime,aws translate list-text-translation-jobs && aws translate describe-text-translation-job --job-id JOB_ID,translate:ListTextTranslationJobs translate:DescribeTextTranslationJob cloudwatch:GetMetricStatistics,Every 24 hours
Comprehend,Comprehend API + CloudWatch,N/A,aws comprehend list-document-classification-jobs && aws comprehend describe-document-classification-job --job-id JOB_ID,comprehend:ListDocumentClassificationJobs comprehend:DescribeDocumentClassificationJob cloudwatch:GetMetricStatistics,Every 24 hours
Rekognition,Rekognition API + CloudWatch,SuccessfulRequestCount ThrottledCount UserErrorCount,aws rekognition describe-projects && aws rekognition list-collections,rekognition:DescribeProjects rekognition:ListCollections cloudwatch:GetMetricStatistics,Every 24 hours
Textract,Textract API + CloudWatch,ResponseTime SuccessfulRequestCount UserErrorCount,aws textract list-adapter-versions && aws textract list-adapters,textract:ListAdapters cloudwatch:GetMetricStatistics,Every 24 hours
Forecast,Forecast API + CloudWatch,N/A,aws forecast list-datasets && aws forecast list-predictors,forecast:ListDatasets forecast:ListPredictors cloudwatch:GetMetricStatistics,Every 24 hours
Personalize,Personalize API + CloudWatch,N/A,aws personalize list-datasets && aws personalize list-solutions,personalize:ListDatasets personalize:ListSolutions cloudwatch:GetMetricStatistics,Every 24 hours
Fraud Detector,Fraud Detector API + CloudWatch,N/A,aws frauddetector get-detectors && aws frauddetector get-models,frauddetector:GetDetectors frauddetector:GetModels cloudwatch:GetMetricStatistics,Every 24 hours
Bedrock,Bedrock API + CloudWatch,Invocations InputTokenCount OutputTokenCount Latency,aws bedrock list-foundation-models && aws bedrock get-foundation-model --model-identifier MODEL_ID,bedrock:ListFoundationModels bedrock:GetFoundationModel cloudwatch:GetMetricStatistics,Every 12 hours
