"Service Name","Criteria 1","Criteria 2","Criteria 3","Time Window","Optimization Recommendation","Potential Cost Savings","CloudWatch Metrics Required","API Calls Required"
"CloudFront","Requests < 10000/day","BytesDownloaded < 10GB/day","DistributionStatus = Deployed","Last 30 days","Switch to cheaper price class (PriceClass_100 vs PriceClass_All)","20-30%","Requests BytesDownloaded 4xxErrorRate 5xxErrorRate","cloudfront:GetDistribution cloudfront:ListDistributions"
"API Gateway","IntegrationLatency low with provisioned cache","CacheHitCount < 50% of requests","Count > 0","Last 14 days","Remove or reduce API cache size if hit rate is low","20-40%","Count IntegrationLatency CacheHitCount CacheMissCount","apigateway:GetRestApis apigateway:GetStages"
"VPC","N/A","N/A","N/A","N/A","Free service - VPC itself has no compute cost; review NAT Gateways and endpoints separately","N/A","N/A","ec2:DescribeVpcs"
"NAT Gateway","BytesOutToDestination < 1GB/day","ActiveConnectionCount < 50","NatGatewayState = available","Last 14 days","Use NAT instance for low-traffic or consolidate multi-AZ NAT Gateways","40-60%","BytesOutToDestination BytesInFromDestination ActiveConnectionCount","ec2:DescribeNatGateways"
"Elastic Load Balancer","ActiveConnectionCount < 100","RequestCount < 1000/hour","HealthyHostCount > 0","Last 14 days","Consolidate load balancers or downsize to NLB for simple routing","10-20%","ActiveConnectionCount RequestCount HealthyHostCount","elbv2:DescribeLoadBalancers elbv2:DescribeTargetGroups"
"Route 53","N/A","N/A","N/A","N/A","Low-cost service; review unused hosted zones and health checks to reduce per-check fees","5-10%","N/A","route53:ListHostedZones route53:ListHealthChecks"
"CloudWatch","N/A","N/A","N/A","N/A","Review custom metrics and dashboards; remove unused alarms and log groups to reduce costs","10-30%","N/A","cloudwatch:ListMetrics cloudwatch:DescribeAlarms logs:DescribeLogGroups"
"CloudTrail","N/A","N/A","N/A","N/A","Consolidate trails to org-level trail; disable duplicate trails to reduce S3 and event costs","20-40%","N/A","cloudtrail:DescribeTrails"
"IAM","N/A","N/A","N/A","N/A","Free service - no cost optimization possible","N/A","N/A","N/A"
"KMS","KeyState = Enabled with low API calls","NumberOfKeyUsages < 10/month","KeyState = Enabled","Last 30 days","Delete unused CMKs; use AWS managed keys where possible to avoid $1/month per CMK","80-100%","N/A","kms:ListKeys kms:DescribeKey kms:GetKeyRotationStatus"
"Secrets Manager","SecretVersionsToStages low rotation","Secret accessed < 1/month","SecretLastAccessedDate within period","Last 30 days","Delete unused secrets; consolidate secrets or use Parameter Store for simple strings","50-70%","N/A","secretsmanager:ListSecrets secretsmanager:DescribeSecret"
"SNS","NumberOfMessagesPublished < 100/day","NumberOfNotificationsDelivered low","NumberOfMessagesPublished > 0","Last 30 days","Remove unused topics; consolidate topics with low throughput","20-40%","NumberOfMessagesPublished NumberOfNotificationsDelivered","sns:ListTopics sns:GetTopicAttributes"
"SQS","NumberOfMessagesSent < 100/day","ApproximateNumberOfMessagesVisible low","NumberOfMessagesSent > 0","Last 30 days","Remove unused queues; right-size message retention period","10-20%","NumberOfMessagesSent NumberOfMessagesReceived ApproximateNumberOfMessagesVisible","sqs:ListQueues sqs:GetQueueAttributes"
"Kinesis","GetRecords.IteratorAgeMilliseconds low","IncomingRecords < 100/hour per shard","IncomingRecords > 0","Last 14 days","Reduce shard count to match actual throughput needs","30-60%","IncomingRecords GetRecords.IteratorAgeMilliseconds IncomingBytes","kinesis:ListStreams kinesis:DescribeStream"
"Athena","TotalExecutionTime low","DataScannedInBytes < 1GB/query average","TotalExecutionTime > 0","Last 30 days","Use partitioning and columnar formats to reduce scanned data costs","40-70%","TotalExecutionTime DataScannedInBytes","athena:ListWorkGroups athena:GetWorkGroup"
"Glue","JobRunTime < 30% of max capacity","DPU hours low relative to data processed","JobRunTime > 0","Last 30 days","Reduce DPU count or use G.1X workers instead of G.2X","30-50%","glue.driver.BlockManager.disk.diskSpaceUsed_MB glue.driver.jvm.heap.usage","glue:GetJobs glue:GetJobRuns"
"EMR","CoreNodeCPUUtilization < 40%","HDFSUtilization < 50%","LiveDataNodes > 0","Last 14 days","Use Spot instances for task nodes; reduce core node count","40-60%","CoreNodeCPUUtilization HDFSUtilization YARNMemoryAvailablePercentage","elasticmapreduce:ListClusters elasticmapreduce:DescribeCluster"
"SageMaker","CPUUtilization < 30% on endpoint","MemoryUtilization < 40% on endpoint","Invocations > 0","Last 14 days","Downsize endpoint instance type or use serverless inference","30-50%","CPUUtilization MemoryUtilization Invocations","sagemaker:ListEndpoints sagemaker:DescribeEndpoint"
"Step Functions","ExecutionsStarted < 10/day","ExecutionTime low","ExecutionsStarted > 0","Last 30 days","Switch to Express Workflows for high-frequency short-duration workflows","40-70%","ExecutionsStarted ExecutionsFailed ExecutionTime","stepfunctions:ListStateMachines stepfunctions:DescribeStateMachine"
"EFS","DataReadIOBytes < 1GB/day","DataWriteIOBytes < 1GB/day","NumberOfMountTargets > 0","Last 30 days","Enable EFS Lifecycle Management to move infrequent data to IA storage class","50-70%","DataReadIOBytes DataWriteIOBytes StorageBytes","elasticfilesystem:DescribeFileSystems"
"FSx","DataReadBytes < 1GB/day","DataWriteBytes < 1GB/day","FileServerDiskThroughputUtilization < 30%","Last 14 days","Downsize storage capacity or throughput tier; switch to HDD if IOPS needs are low","30-50%","DataReadBytes DataWriteBytes FileServerDiskThroughputUtilization","fsx:DescribeFileSystems"
"Backup","BackupJobsCompleted low relative to plan","RestoreJobsCompleted = 0","BackupJobsCompleted > 0","Last 30 days","Remove redundant backup plans; adjust retention periods to reduce storage costs","20-40%","N/A","backup:ListBackupPlans backup:ListBackupJobs"
"CloudFormation","N/A","N/A","N/A","N/A","Free service - no cost for CloudFormation itself; review resources it provisions","N/A","N/A","cloudformation:ListStacks"
"Config","N/A","N/A","N/A","N/A","Review number of config rules and recording frequency; disable unused rules to reduce per-rule costs","20-40%","N/A","config:DescribeConfigRules config:DescribeConfigurationRecorders"
"Systems Manager","N/A","N/A","N/A","N/A","Review Advanced Instances tier usage; downgrade to Standard where possible to reduce costs","10-30%","N/A","ssm:DescribeInstanceInformation ssm:ListDocuments"
"WorkSpaces","CPUUsage < 30%","SessionLaunchTime low","ConnectionState = CONNECTED at least once","Last 14 days","Downgrade bundle size or switch to AutoStop billing mode for infrequent users","30-60%","CPUUsage MemoryUsage SessionLaunchTime","workspaces:DescribeWorkspaces workspaces:DescribeWorkspaceBundles"
"AppStream","ActualCapacity > MaxUserCapacity * 1.5","SessionNotStarted > 50% of fleet time","ActualCapacity > 0","Last 14 days","Reduce fleet desired capacity or enable auto-scaling policies","30-50%","ActualCapacity AvailableCapacity RunningCapacity","appstream:DescribeFleets appstream:DescribeSessions"
"Direct Connect","ConnectionBandwidth utilization < 30%","PacketsReceived low","ConnectionState = available","Last 14 days","Downgrade port speed from 10Gbps to 1Gbps if utilization is consistently low","30-50%","ConnectionBpsEgress ConnectionBpsIngress ConnectionPpsEgress","directconnect:DescribeConnections"
"VPN","TunnelDataIn < 100MB/day","TunnelDataOut < 100MB/day","TunnelState = UP","Last 14 days","Consolidate VPN connections or replace with Direct Connect for high-bandwidth needs","20-40%","TunnelDataIn TunnelDataOut TunnelState","ec2:DescribeVpnConnections"
"Transit Gateway","BytesIn < 1GB/day","PacketsIn low","AttachmentState = available","Last 14 days","Consolidate transit gateways or reduce attachment count if routing is minimal","20-40%","BytesIn BytesOut PacketsIn PacketsOut","ec2:DescribeTransitGateways ec2:DescribeTransitGatewayAttachments"
"DocumentDB","CPUUtilization < 40%","DatabaseConnections < 20% of max","DatabaseConnections > 0","Last 14 days","Reduce instance class or scale down replica count","30-50%","CPUUtilization DatabaseConnections FreeableMemory","docdb:DescribeDBClusters docdb:DescribeDBInstances"
"Neptune","CPUUtilization < 40%","GremlinRequestsPerSec low","DatabaseConnections > 0","Last 14 days","Reduce instance class or remove excess read replicas","30-50%","CPUUtilization GremlinRequestsPerSec SparqlRequestsPerSec","neptune:DescribeDBClusters neptune:DescribeDBInstances"
"Timestream","SystemErrors low","SuccessfulRequestLatency low with few records written","WriteRecords > 0","Last 30 days","Reduce memory store retention period; optimize magnetic store retention","30-60%","SystemErrors SuccessfulRequestLatency","timestream:DescribeEndpoints timestream:ListDatabases"
"QLDB","CommandLatency low","JournalStorage growth < 1MB/day","JournalStorage > 0","Last 30 days","Reduce ledger activity or archive older journal entries","20-40%","CommandLatency JournalStorage","qldb:ListLedgers qldb:DescribeLedger"
"Keyspaces","ConsumedReadCapacityUnits < 30% of provisioned","ConsumedWriteCapacityUnits < 30% of provisioned","SystemErrors = 0","Last 30 days","Switch to on-demand capacity or reduce provisioned throughput","40-60%","ConsumedReadCapacityUnits ConsumedWriteCapacityUnits","cassandra:Select"
"MemoryDB","CPUUtilization < 30%","NetworkBytesIn < 10MB/day","CurrConnections > 0","Last 14 days","Reduce node type or shard count to match actual workload","30-50%","CPUUtilization NetworkBytesIn CurrConnections DatabaseMemoryUsagePercentage","memorydb:DescribeClusters"
"OpenSearch","CPUUtilization < 40%","SearchRate < 10 req/min","KibanaHealthyNodes > 0","Last 14 days","Reduce instance count or downsize data node instance type","30-50%","CPUUtilization SearchRate IndexingRate JVMMemoryPressure","es:ListDomainNames es:DescribeElasticsearchDomain"
"MSK","CpuUser < 30%","BytesInPerSec < 1MB/s per broker","ActiveControllerCount = 1","Last 14 days","Reduce broker count or downsize broker instance type","30-50%","CpuUser BytesInPerSec BytesOutPerSec MessagesInPerSec","kafka:ListClusters kafka:DescribeCluster"
"EventBridge","Invocations < 100/day","FailedInvocations = 0","Invocations > 0","Last 30 days","Remove unused rules; consolidate event buses","10-20%","Invocations FailedInvocations MatchedEvents","events:ListRules events:ListEventBuses"
"AppFlow","FlowExecutionsStarted < 5/day","FlowExecutionsFailed = 0","FlowExecutionsStarted > 0","Last 30 days","Reduce flow run frequency or consolidate flows","20-40%","FlowExecutionsStarted FlowExecutionsFailed","appflow:ListFlows appflow:DescribeFlow"
"DataSync","BytesTransferred < 1GB/day","TaskExecutionsFailed = 0","TaskExecutionsSucceeded > 0","Last 30 days","Reduce task frequency or consolidate transfer tasks","20-40%","BytesTransferred FilesTransferred TaskExecutionsFailed","datasync:ListTasks datasync:DescribeTask"
"Transfer Family","BytesIn < 100MB/day","BytesOut < 100MB/day","FilesIn > 0","Last 30 days","Consolidate servers or switch to lower-throughput protocol","30-50%","BytesIn BytesOut FilesIn FilesOut","transfer:ListServers transfer:DescribeServer"
"Storage Gateway","CacheHitPercent > 80% but gateway oversized","TotalCacheSize utilization < 40%","IoWaitPercent > 0","Last 14 days","Reduce cache disk size or downgrade gateway VM type","20-40%","CacheHitPercent TotalCacheSize CacheUsed","storagegateway:ListGateways storagegateway:DescribeGatewayInformation"
"Lightsail","CPUUtilization < 30%","NetworkOut < 10MB/day","InstanceState = running","Last 14 days","Downgrade to smaller Lightsail bundle","30-50%","CPUUtilization NetworkIn NetworkOut","lightsail:GetInstances lightsail:GetInstanceMetricData"
"CodeBuild","BuildDuration < 30% of timeout","BuildSucceeded > 0 but compute oversized","BuildSucceeded > 0","Last 30 days","Reduce compute type from build.general1.large to build.general1.medium","20-40%","BuildDuration BuildSucceeded","codebuild:ListProjects codebuild:BatchGetProjects"
"CodePipeline","N/A","N/A","N/A","N/A","Low per-pipeline cost; review inactive pipelines for deletion","5-10%","N/A","codepipeline:ListPipelines"
"CodeDeploy","N/A","N/A","N/A","N/A","Free service for EC2/Lambda; review ECS deployment configs for optimization","N/A","N/A","codedeploy:ListApplications"
"CodeCommit","N/A","N/A","N/A","N/A","Free up to 5 active users; review repository count and active user count","N/A","N/A","codecommit:ListRepositories"
"CodeArtifact","N/A","N/A","N/A","N/A","Review storage usage and request volume; remove unused package versions to reduce storage costs","10-30%","N/A","codeartifact:ListDomains codeartifact:ListRepositories"
"ECR","N/A","N/A","N/A","N/A","Enable lifecycle policies to remove old/untagged images and reduce storage costs","20-50%","N/A","ecr:DescribeRepositories ecr:GetLifecyclePolicy"
"Amplify","N/A","N/A","N/A","N/A","Review unused Amplify apps and branches; delete stale deployments to reduce build and hosting costs","10-30%","N/A","amplify:ListApps amplify:ListBranches"
"Cloud9","N/A","N/A","N/A","N/A","Cloud9 uses underlying EC2; ensure auto-hibernate is enabled to stop EC2 when idle","30-60%","N/A","cloud9:ListEnvironments cloud9:DescribeEnvironments"
"X-Ray","N/A","N/A","N/A","N/A","Reduce sampling rate if trace volume is high; remove unused groups to reduce ingestion costs","20-40%","N/A","xray:GetGroups xray:GetSamplingRules"
"GuardDuty","N/A","N/A","N/A","N/A","Review S3 protection and EKS add-on enablement; disable unused data sources to reduce per-event costs","10-30%","N/A","guardduty:ListDetectors guardduty:GetDetector"
"Macie","N/A","N/A","N/A","N/A","Reduce S3 bucket scope for discovery jobs; lower job frequency for non-sensitive buckets","20-40%","N/A","macie2:ListClassificationJobs macie2:GetMacieSession"
"Security Hub","N/A","N/A","N/A","N/A","Disable unused security standards and integrations to reduce per-finding costs","10-20%","N/A","securityhub:DescribeHub securityhub:GetEnabledStandards"
"Inspector","N/A","N/A","N/A","N/A","Limit scan scope to active workloads; disable ECR scanning for non-critical repositories","10-20%","N/A","inspector2:BatchGetAccountStatus inspector2:ListCoverage"
"Detective","N/A","N/A","N/A","N/A","Review data ingestion volume; disable if GuardDuty findings are low-volume","10-30%","N/A","detective:ListGraphs detective:GetMembers"
"WAF","WafRequestCount < 1000/day per WebACL","BlockedRequests = 0","WafRequestCount > 0","Last 30 days","Remove unused WAF rules and WebACLs; consolidate rule groups","10-30%","WafRequestCount BlockedRequests AllowedRequests","wafv2:ListWebACLs wafv2:GetWebACL"
"Shield","N/A","N/A","N/A","N/A","Shield Advanced has fixed cost; review protected resources and remove unneeded protections","10-20%","N/A","shield:ListProtections shield:DescribeProtection"
"Firewall Manager","N/A","N/A","N/A","N/A","Review policy scope; remove policies covering resources no longer requiring centralized management","10-20%","N/A","fms:ListPolicies fms:GetPolicy"
"Network Firewall","BytesProcessed < 1GB/day","PacketsDropped = 0","FirewallStatus = READY","Last 14 days","Consolidate firewall endpoints or reduce rule group capacity","20-40%","BytesProcessed PacketsProcessed PacketsDropped","network-firewall:ListFirewalls network-firewall:DescribeFirewall"
"Certificate Manager","N/A","N/A","N/A","N/A","Free for public certs; review private CA usage and certificate count to reduce Private CA costs","10-30%","N/A","acm:ListCertificates acm-pca:ListCertificateAuthorities"
"Organizations","N/A","N/A","N/A","N/A","Free service - no cost optimization possible","N/A","N/A","N/A"
"Control Tower","N/A","N/A","N/A","N/A","Free service - costs come from underlying services; review enabled guardrails and account factory usage","N/A","N/A","controltower:ListLandingZones"
"Service Catalog","N/A","N/A","N/A","N/A","Free service - no direct cost; review provisioned products for underlying resource optimization","N/A","N/A","servicecatalog:ListPortfolios servicecatalog:SearchProvisionedProducts"
"License Manager","N/A","N/A","N/A","N/A","Free service - use it to identify and reclaim underused BYOL licenses","N/A","N/A","license-manager:ListLicenseConfigurations"
"Trusted Advisor","N/A","N/A","N/A","N/A","Free service - use it proactively to identify cost optimization opportunities","N/A","N/A","N/A"
"Compute Optimizer","N/A","N/A","N/A","N/A","Free service - use recommendations to rightsize EC2 and Lambda resources","N/A","N/A","compute-optimizer:GetEC2InstanceRecommendations"
"Cost Explorer","N/A","N/A","N/A","N/A","Free service - no cost optimization needed","N/A","N/A","N/A"
"Budgets","N/A","N/A","N/A","N/A","Minimal cost per budget; review and consolidate unused budget alerts","N/A","N/A","budgets:DescribeBudgets"
"Grafana","ActiveEditorCount < 2","DashboardCount > 20 with low views","ActiveEditorCount > 0","Last 30 days","Downgrade workspace tier from Enterprise to Standard if editor count is low","30-50%","N/A","grafana:ListWorkspaces grafana:DescribeWorkspace"
"Prometheus","ActiveSeries < 50% of ingestion limit","DataIngested < 1M samples/day","DataIngested > 0","Last 30 days","Reduce scrape interval or metric cardinality to lower ingestion costs","30-50%","N/A","aps:ListWorkspaces aps:DescribeWorkspace"
"DevOps Guru","N/A","N/A","N/A","N/A","Review resource analysis coverage; reduce scope to critical services only to lower per-resource costs","10-30%","N/A","devops-guru:ListMonitoredResources devops-guru:DescribeServiceIntegration"
"Resilience Hub","N/A","N/A","N/A","N/A","Free service - review app assessment frequency to avoid unnecessary assessment runs","N/A","N/A","resiliencehub:ListApps"
"Fault Injection Simulator","N/A","N/A","N/A","N/A","Pay-per-use service; no ongoing underutilization - ensure experiments are stopped after completion","N/A","N/A","fis:ListExperiments fis:GetExperiment"
"Incident Manager","N/A","N/A","N/A","N/A","Review replication set and response plan count; consolidate plans to reduce per-contact costs","5-10%","N/A","ssm-incidents:ListResponsePlans ssm-incidents:ListIncidentRecords"
"FinSpace","ComputeNodeCount > minimum","DataViewCount low","DataViewCount > 0","Last 30 days","Reduce environment compute node count or delete unused datasets","30-50%","N/A","finspace:ListEnvironments finspace:GetEnvironment"
"HealthLake","DatastoreStatus = ACTIVE with low query volume","QueryVolume < 10/day","DatastoreStatus = ACTIVE","Last 30 days","Delete unused datastores; optimize FHIR query patterns to reduce costs","30-50%","N/A","healthlake:ListFHIRDatastores healthlake:DescribeFHIRDatastore"
"HealthOmics","StorageType = REFERENCE with low access","SequenceStoreFiles rarely accessed","StorageBytes > 0","Last 30 days","Move infrequently accessed genomic data to archive tier","40-60%","N/A","omics:ListSequenceStores omics:ListReferenceStores"
"HealthImaging","ImageSetCount > 0 with low retrieval rate","RetrievalRequests < 1/day","ImageSetCount > 0","Last 30 days","Enable tiered storage for infrequently accessed image sets","30-50%","N/A","medical-imaging:ListDatastores"
"Clean Rooms","CollaborationStatus = ACTIVE with few queries","NumberOfQueries < 5/day","CollaborationStatus = ACTIVE","Last 30 days","Remove unused collaborations; reduce membership count","20-40%","N/A","cleanrooms:ListCollaborations cleanrooms:ListMemberships"
"Entity Resolution","WorkflowExecutions < 2/week","RecordsProcessed < 10000/run","WorkflowExecutions > 0","Last 30 days","Reduce workflow execution frequency; optimize matching rules","20-40%","N/A","entityresolution:ListMatchingWorkflows"
"Data Exchange","SubscriptionCount > 0 with low API calls","RevisionCount rarely updated","SubscriptionCount > 0","Last 30 days","Cancel unused data subscriptions to eliminate per-subscription fees","40-80%","N/A","dataexchange:ListDataSets dataexchange:ListSubscriptions"
"Data Firehose","IncomingBytes < 1MB/hour","DeliveryToS3.DataFreshness low","IncomingRecords > 0","Last 14 days","Remove unused delivery streams; consolidate streams with similar destinations","20-40%","IncomingBytes IncomingRecords DeliveryToS3.DataFreshness","firehose:ListDeliveryStreams firehose:DescribeDeliveryStream"
"Pinpoint","MessagesSent < 100/day","NumberOfEndpoints low relative to provisioned","MessagesSent > 0","Last 30 days","Reduce dedicated short code or long code count; use shared origination numbers","20-40%","MessagesSent DeliveryRate","pinpoint:GetApps pinpoint:GetApplicationSettings"
"Simple Email Service","Send < 10% of sending limit","BounceRate low","DeliveryAttempts > 0","Last 30 days","Reduce dedicated IP count if sending volume is below 100k/day per IP","30-50%","Send Bounce Complaint DeliveryAttempts","ses:GetSendStatistics ses:GetSendQuota"
"Chime","N/A","N/A","N/A","N/A","Pay-per-use for most features; review Pro license count and remove unused user licenses","20-40%","N/A","chime:ListAccounts chime:ListUsers"
"Connect","ActiveInstances with low concurrent contact volume","ConcurrentCalls < 20% of service limit","ContactsHandled > 0","Last 14 days","Reduce agent count during off-peak; optimize IVR to reduce agent minutes","20-40%","ContactsHandled ConcurrentCalls AverageHandleTime","connect:ListInstances connect:GetCurrentMetricData"
"WorkDocs","N/A","N/A","N/A","N/A","Review active user count; remove inactive users to reduce per-user storage costs","20-40%","N/A","workdocs:DescribeUsers workdocs:DescribeInstances"
"WorkMail","N/A","N/A","N/A","N/A","Remove inactive mailboxes; each user mailbox costs $4/month","80-100%","N/A","workmail:ListOrganizations workmail:ListUsers"
"GameLift","EC2UtilizationPercentage < 30%","ActiveInstances > minimum desired","ActiveInstances > 0","Last 14 days","Reduce fleet minimum instance count; enable auto-scaling with appropriate target utilization","30-50%","EC2UtilizationPercentage ActiveInstances AvailableGameSessions","gamelift:ListFleets gamelift:DescribeFleetUtilization"
"Managed Blockchain","StorageUsed < 20% of provisioned","PeerNodeCount > minimum","PeerNodeCount > 0","Last 30 days","Reduce peer node count or instance type; remove unused member networks","30-50%","StorageUsed CPUUtilization","managedblockchain:ListNetworks managedblockchain:ListMembers"
"Ground Station","ContactsScheduled < 2/week","AntennaDownlinkSeconds low","ContactsScheduled > 0","Last 30 days","Reduce reserved contact time; use on-demand contacts instead of reserved","30-50%","N/A","groundstation:ListContacts groundstation:ListGroundStations"
"IoT Core","MessagesPublished < 1000/day","ConnectedDevices < 50% of registered","MessagesPublished > 0","Last 14 days","Reduce message broker tier; optimize device shadow update frequency","20-40%","MessagesPublished Connect Disconnect","iot:ListThings iot:DescribeEndpoint"
"IoT Analytics","MessagesProcessed < 1000/day","DatasetContentDeliverySucceeded low","MessagesProcessed > 0","Last 30 days","Reduce channel retention period; lower dataset query frequency","30-50%","N/A","iotanalytics:ListChannels iotanalytics:ListDatasets"
"IoT Greengrass","ComponentsDeployed > minimum needed","CoreDeviceCount low relative to licensed","CoreDeviceCount > 0","Last 30 days","Remove unused components from deployments; reduce core device count","20-40%","N/A","greengrassv2:ListCoreDevices greengrassv2:ListDeployments"
"IoT SiteWise","AssetsModelCount > active use","DataIngested < 100 data points/hour","DataIngested > 0","Last 14 days","Remove unused asset models; reduce measurement sampling rate","20-40%","N/A","iotsitewise:ListAssets iotsitewise:ListPortals"
"Lookout for Equipment","ModelCount > active models","InferenceSchedulerCount > active use","InferenceSchedulerStatus = RUNNING","Last 30 days","Stop unused inference schedulers; delete inactive model versions","30-60%","N/A","lookoutequipment:ListModels lookoutequipment:ListInferenceSchedulers"
"Kendra","IndexStorageCapacityUnits > 1 with low query volume","QueryCount < 50/day","IndexStatus = ACTIVE","Last 30 days","Reduce index capacity units; use Developer Edition for low-volume use cases","40-60%","IndexQueryCount IndexDocumentCount","kendra:ListIndices kendra:DescribeIndex"
"Lex","MissedUtteranceCount high (poor design)","RequestCount < 100/day","RequestCount > 0","Last 30 days","Consolidate bot intents; reduce provisioned throughput for low-volume bots","20-40%","MissedUtteranceCount RequestCount RuntimeRequestCount","lex:ListBots lexv2-runtime:RecognizeText"
"Polly","RequestCharacters < 100000/month","SynthesizeSpeech calls < 50/day","RequestCharacters > 0","Last 30 days","Cache synthesized audio output for repeated text to reduce API call costs","30-50%","RequestCharacters","polly:ListLexicons polly:DescribeVoices"
"Transcribe","TotalTranscribedSeconds < 1 hour/day","TranscriptionJobsCompleted < 5/day","TranscriptionJobsCompleted > 0","Last 30 days","Use batch transcription instead of streaming for non-real-time workloads","20-40%","TotalTranscribedSeconds","transcribe:ListTranscriptionJobs"
"Translate","CharactersTranslated < 100000/day","TranslationJobsCompleted < 5/day","CharactersTranslated > 0","Last 30 days","Implement client-side caching for repeated translations to reduce API costs","20-40%","CharactersTranslated","translate:ListTerminologies"
"Comprehend","DocumentsClassified < 1000/day","EntityRecognitionJobs < 3/day","DocumentsClassified > 0","Last 30 days","Use batch endpoint for non-real-time analysis; remove unused custom model endpoints","30-50%","N/A","comprehend:ListEndpoints comprehend:ListDocumentClassifiers"
"Rekognition","APICallCount < 1000/day","ImagesAnalyzed < 500/day","APICallCount > 0","Last 30 days","Reduce image resolution before submission; use batch operations","20-40%","N/A","rekognition:ListCollections rekognition:ListStreamProcessors"
"Textract","PagesProcessed < 100/day","AsyncJobsCompleted < 5/day","PagesProcessed > 0","Last 30 days","Use AnalyzeDocument instead of StartDocumentAnalysis for small documents","20-30%","N/A","textract:GetDocumentAnalysis"
"Forecast","DatasetGroupCount > active use","ForecastExportCount < 1/week","ForecastExportCount > 0","Last 30 days","Delete unused predictor and forecast resources; reduce auto-predictor training frequency","30-50%","N/A","forecast:ListDatasets forecast:ListPredictors"
"Personalize","SolutionVersionCount > 1","CampaignMinTPS < actual TPS","CampaignStatus = ACTIVE","Last 30 days","Reduce campaign minProvisionedTPS to match actual request rate","40-60%","N/A","personalize:ListCampaigns personalize:DescribeCampaign"
"Fraud Detector","ModelVersionCount > active use","EventIngestionRate < 100/day","EventIngestionRate > 0","Last 30 days","Remove unused model versions; reduce detector rule complexity","20-40%","N/A","frauddetector:GetDetectors frauddetector:GetModels"
"Bedrock","ModelInvocations < 100/day","InputTokens < 50000/day","ModelInvocations > 0","Last 30 days","Switch to on-demand pricing from provisioned throughput if usage is low","40-60%","N/A","bedrock:ListFoundationModels bedrock:GetProvisionedModelThroughput"
"SageMaker","CPUUtilization < 30% on notebook instance","MemoryUtilization < 40%","KernelGatewayAppStatus = InService","Last 14 days","Stop notebook instances when not in use; use SageMaker Studio instead of dedicated instances","40-70%","CPUUtilization MemoryUtilization DiskUtilization","sagemaker:ListNotebookInstances sagemaker:DescribeNotebookInstance"
