Service Name,Criteria 1,Criteria 2,Retention Consideration,Storage Class/Tier,Compliance Notes,Cost Comparison vs Active
Route 53,DNS query logs > 365 days old,No recent DNS query activity,DNS audit trail retention (1-3 years),S3 Glacier for DNS log archives,DNS audit logs for compliance - SOC2,S3 Glacier much cheaper than active CloudWatch Logs
CloudWatch,Metric data retention > 15 months,No recent dashboard or alarm access,Metric archive for compliance (1-15 months per resolution),CloudWatch Metrics Archive (automatic tiering),Compliance metrics history - SOC2/PCI-DSS,Archived metrics at lower cost than high-resolution storage
CloudTrail,Log age > 365 days,Access frequency < 1/month,Audit trail - 7 year retention (SOC2/PCI-DSS/HIPAA),S3 Glacier Flexible Retrieval for log archives,SOC2/PCI-DSS audit logs - tamper-proof trail with log file validation,~85% cheaper than S3 Standard (~$0.004/GB vs $0.023/GB)
IAM,N/A - Console-only service,N/A,N/A,N/A,N/A - No archival storage concept for IAM service itself,N/A
KMS,Key material age > 1 year with no recent usage,No encrypt/decrypt operations in 180 days,Key retention per compliance policy (3-7 years),KMS key pending deletion (30-day minimum window),Encryption key audit trail - PCI-DSS/HIPAA/SOC2,No cost for pending deletion state vs $1/month per active key
Secrets Manager,Secret version age > 90 days,No recent secret retrieval activity,Compliance-driven secret rotation history (1-3 years),Secret version storage (archived stages),Secret rotation audit trail - SOC2/PCI-DSS,Minimal storage cost vs active secret ($0.40/secret/month)
SNS,Message archive > 90 days old,No recent subscription or publish activity,Message archive for compliance (90 days - 7 years),S3 export with Glacier transition for message archives,Notification audit trail - SOC2,S3 Glacier cost vs active SNS message retention
SQS,Messages archived to S3 > 90 days old,No recent queue activity or message processing,Message archive for compliance (1-7 years),S3 with Glacier transition for exported messages,Message audit trail - SOC2/PCI-DSS,S3 Glacier cost vs active SQS message retention
Kinesis,Data Streams: Enable extended retention (7 days max),Historical data exported to S3 for long-term archive,Export to S3 for long-term storage (1-7 years),S3 with Glacier transition for stream data archives,Real-time data archived to S3 for compliance - SOC2,S3 Glacier storage vs active Kinesis shard cost ($0.015/shard/hour)
Athena,Query history > 365 days old,No recent query executions,Query audit trail retention (1-3 years),S3 Glacier for query result archives,Query audit logs for compliance - SOC2,S3 Glacier cost vs active Athena query charges ($5/TB scanned)
Glue,Job run history > 365 days old,No recent ETL job executions,ETL job history for compliance (1-3 years),S3 Glacier for job log archives,ETL audit trail - SOC2/data lineage compliance,S3 Glacier cost vs active Glue job charges ($0.44/DPU-hour)
EMR,Cluster logs > 365 days old,No recent cluster runs,Cluster log retention for compliance (1-3 years),S3 Glacier for EMR log archives,Big data processing audit trail - SOC2,S3 Glacier cost vs active EMR cluster charges
SageMaker,Model artifact age > 180 days with no endpoint deployment,No recent training job invocations,ML model archive for compliance/audit (1-3 years),S3 Glacier for model artifacts and training data,ML model version audit trail - SOC2,S3 Glacier cost vs active SageMaker endpoint charges
Step Functions,Execution history > 90 days old,No recent state machine executions,Workflow execution audit trail (90 days - 7 years),CloudWatch Logs exported to S3 Glacier,Workflow compliance audit - SOC2,S3 Glacier cost vs active CloudWatch Logs retention
EFS,IA storage class enabled,File age > 90 days with no access,1-3 years retention for archived files,EFS Infrequent Access (IA) storage class,Automatic lifecycle management - HIPAA/SOC2 compliant,~92% cheaper than EFS Standard ($0.025/GB vs $0.30/GB)
FSx,Backup retention > 90 days,No recent restore activity from backup,Compliance-driven backup retention (1-3 years),Automated daily backups in standard S3 storage,Disaster recovery - point-in-time restore - SOC2,Backup storage cost only (~$0.05/GB-month) vs active FSx charges
Backup,Recovery point age > 30 days,Transition to cold storage tier enabled,30-365 days retention based on compliance policy,Cold storage tier (S3 Glacier),Automated compliance-driven backup policies - HIPAA/SOC2/PCI-DSS,~75% cheaper in cold storage tier ($0.006/GB vs $0.05/GB warm)
CloudFormation,Stack template version > 365 days old,No recent stack deployments or updates,Infrastructure template archive (1-3 years),S3 storage with Glacier transition for templates,Infrastructure-as-code audit trail - SOC2/change management,S3 Glacier cost vs CloudFormation storage (templates free to store)
Config,Config snapshot age > 365 days,Historical compliance data not recently accessed,Multi-year compliance audit trail (7 years - SOC2/PCI-DSS),S3 storage with lifecycle to Glacier,Configuration compliance history - SOC2/PCI-DSS/HIPAA,S3 Glacier for long-term audit vs active Config recording cost
Systems Manager,Parameter/patch history > 365 days old,No recent System Manager automation or patch activity,Operational history archive (1-3 years),S3 Glacier for session logs and run command output,Patch compliance audit - SOC2/HIPAA/PCI-DSS,S3 Glacier cost vs active CloudWatch Logs session log retention
WorkSpaces,Desktop backup/snapshot > 90 days old,No recent user session activity,User data archive (90 days - 3 years),Standard snapshot storage for desktop images,User data compliance - HIPAA for healthcare WorkSpaces,Storage-only cost vs active desktop ($35-$80/user/month)
AppStream,Fleet image backup > 90 days old,No recent streaming session activity,Application image archive (90 days - 3 years),Standard snapshot storage for streaming images,Application delivery audit trail - SOC2,Storage-only cost vs active fleet instance charges
Direct Connect,Connection logs > 365 days old,No recent connection activity,Network audit log retention (1-3 years),S3 Glacier for connection log archives,Network compliance audit - SOC2/PCI-DSS,S3 Glacier cost vs active Direct Connect port charges ($0.03/hour)
VPN,VPN connection logs > 365 days old,No recent tunnel activity,Network security audit retention (1-3 years),S3 Glacier for VPN log archives,Network security compliance - SOC2/PCI-DSS,S3 Glacier cost vs active VPN connection ($0.05/hour)
Transit Gateway,Flow logs > 365 days old,No recent network traffic,Network audit log retention (1-3 years),S3 Glacier for flow log archives,Network compliance audit trail - SOC2/PCI-DSS,S3 Glacier cost vs active Transit Gateway ($0.05/attachment/hour)
DocumentDB,Automated snapshot retention > 35 days,No recent cluster restore activity,35 days automated + manual snapshots for compliance (7 years),Standard snapshot storage,Continuous backup - point-in-time recovery - HIPAA compliant,Storage-only cost vs running DocumentDB cluster
Neptune,Automated backup enabled,Snapshot age > 30 days with no restore activity,35 days retention for graph database backups (1-3 years),Cross-region snapshot replication,Backup for disaster recovery - PITR capable - SOC2,Snapshot storage cost only vs active Neptune instance
Timestream,Data retention policy configured,Historical data > configured retention period,Magnetic store retention (1-73000 days configurable),Timestream magnetic store (lower cost long-term tier),Time-series compliance archive - IoT/operational data,~90% cheaper in magnetic store vs memory store
QLDB,Ledger journal archive enabled,Journal block age > 90 days,Immutable ledger archive - indefinite retention for legal,Journal export to S3 with Glacier transition,WORM ledger compliance - financial audit trail - SOC2/SEC,S3 Glacier export cost vs active QLDB journal storage
Keyspaces,Table backup age > 90 days,No recent table restore activity,Point-in-time recovery backups (35 days PITR),On-demand backup storage (S3-backed),Cassandra-compatible compliance backups - SOC2,Backup storage cost vs active Keyspaces table throughput
MemoryDB,Snapshot age > 7 days,No recent cluster restore activity,Snapshot retention for Redis-compatible cluster (30-90 days),Standard snapshot storage (S3-backed),In-memory database disaster recovery - SOC2,Snapshot storage cost only vs running MemoryDB cluster
OpenSearch,Index snapshot age > 90 days,No recent cluster restore from snapshot,Index archive for compliance (1-3 years),S3 snapshot repository with Glacier transition,Search index compliance archive - SOC2,S3 Glacier cost vs active OpenSearch domain charges
MSK,Log archive > 365 days old,No recent Kafka consumer activity on archived topics,Event streaming archive (1-7 years for compliance),S3 with Glacier transition for topic archives,Kafka event compliance audit trail - SOC2/PCI-DSS,S3 Glacier cost vs active MSK cluster ($0.21/broker/hour)
EventBridge,Event archive enabled,Archive age > 90 days since last replay,Replay capability archive (1-3 years),Event archive storage (S3-backed),Event replay for disaster recovery - SOC2,Storage cost for archived events vs active EventBridge usage
AppFlow,Flow run history > 365 days old,No recent data flow executions,Data integration audit trail (1-3 years),S3 Glacier for flow output archives,Data integration compliance - SOC2/GDPR,S3 Glacier cost vs active AppFlow execution charges
DataSync,Task execution history > 365 days old,No recent data sync executions,Data migration audit trail (1-3 years),S3 Glacier for task log archives,Data transfer compliance audit - SOC2,S3 Glacier cost vs active DataSync execution fees
Transfer Family,Transfer log age > 365 days old,No recent file transfer activity,File transfer audit trail (1-7 years for compliance),S3 Glacier for transfer log archives,SFTP/FTP compliance audit trail - SOC2/PCI-DSS,S3 Glacier cost vs active Transfer Family endpoint ($0.30/hour)
Storage Gateway,Backup age > 90 days,No recent data restoration from gateway,Hybrid cloud backup retention (1-3 years),S3 with Glacier transition for gateway archives,Hybrid cloud compliance backup - SOC2/HIPAA,S3 Glacier cost vs active gateway storage pricing
Lightsail,Snapshot age > 30 days with no restore activity,No recent instance launches from snapshot,Instance backup retention (30 days - 1 year),Standard Lightsail snapshot storage,Simplified compute disaster recovery,Snapshot storage cost only vs active Lightsail instance ($5-$160/month)
CodeBuild,Build log archive > 365 days old,No recent project builds,Build history audit trail (1-3 years),S3 Glacier for build log archives,CI/CD audit trail - SOC2/change management compliance,S3 Glacier cost vs active CloudWatch Logs retention for build logs
CodePipeline,Pipeline execution history > 365 days old,No recent pipeline executions,Pipeline execution audit trail (1-3 years),S3 artifact store with Glacier transition for old artifacts,CI/CD compliance audit - SOC2/change management,S3 Glacier for pipeline artifacts vs active CloudWatch Logs
CodeDeploy,Deployment history > 365 days old,No recent deployment activity,Deployment audit trail (1-3 years),S3 Glacier for deployment log archives,Deployment compliance audit - SOC2/change management,S3 Glacier cost vs active CloudWatch Logs retention for deployments
CodeCommit,Repository archive (read-only),No recent commits or clones (180+ days),Source code archive (indefinite for legal/compliance),CodeCommit repository (stored in S3 internally),Source code compliance retention - SOC2/IP protection,Minimal storage cost (~$1/active user/month vs pay-per-use)
CodeArtifact,Package version archived > 365 days old,No recent package downloads,Software artifact retention (1-3 years for compliance),CodeArtifact package storage with S3 backend,Software supply chain compliance - SOC2,Storage cost (~$0.05/GB-month) vs active package management
ECR,Image age > 180 days with no recent pull,No recent container deployments from image,Container image archive (1-3 years),ECR standard storage (S3-backed),Container image audit trail - SOC2/PCI-DSS,~$0.10/GB-month storage vs active registry with frequent pulls
Amplify,App version archive > 365 days old,No recent deployments or user traffic,Web app version archive (1-3 years),S3 with Glacier transition for build artifacts,Web app version history - SOC2,S3 Glacier cost vs active Amplify hosting charges
Cloud9,Development environment snapshot,No recent IDE session activity,Development environment backup (30-90 days),EBS snapshot for Cloud9 environment,Development audit trail - SOC2,EBS snapshot cost vs active Cloud9 EC2 instance charges
X-Ray,Trace archive > 30 days old,No recent trace retrieval,Application trace archive (30 days X-Ray + S3 long-term),S3 export with Glacier transition for trace archives,Application performance compliance audit - SOC2,S3 Glacier cost vs active X-Ray trace storage ($5/million traces)
GuardDuty,Finding archive enabled,Finding age > 180 days,Security audit trail retention (1-3 years),S3 export with Glacier transition for findings,Security compliance - retain threat findings - SOC2/PCI-DSS,S3 Glacier storage cost for archived findings vs active GuardDuty
Macie,Finding archive > 90 days old,No recent sensitive data discovery scans,Data privacy compliance archive (1-3 years),S3 Glacier for finding exports,Data privacy compliance audit - GDPR/HIPAA/PCI-DSS,S3 Glacier cost vs active Macie scanning ($1/GB-month for object scanning)
Security Hub,Finding archive > 90 days,Historical security posture data,Compliance audit of security findings (1-7 years),S3 export with Glacier transition,Security compliance audit trail - SOC2/PCI-DSS/ISO 27001,S3 Glacier storage cost vs active CloudWatch Logs retention
Inspector,Finding archive > 90 days old,No recent vulnerability scan activity,Vulnerability audit trail (1-3 years),S3 Glacier for vulnerability finding archives,Vulnerability compliance archive - SOC2/PCI-DSS,S3 Glacier cost vs active Inspector scanning charges
Detective,Investigation archive > 90 days old,Historical security investigation data,Security investigation archive (1-3 years),S3 Glacier for investigation data exports,Security forensics compliance - SOC2/FISMA,S3 Glacier cost vs active Detective data ingestion charges
WAF,Web ACL log archive > 365 days old,Low traffic frequency through WAF rules,Web security audit log retention (1-7 years),S3 Glacier for WAF log archives,Web security compliance audit - PCI-DSS/SOC2,S3 Glacier cost vs active WAF log delivery to Kinesis
Shield,DDoS event archive > 365 days old,No recent DDoS attack events,Security incident archive (indefinite for legal),S3 Glacier for Shield event exports,DDoS protection compliance archive - SOC2/PCI-DSS,S3 Glacier cost (Shield Advanced $3000/month minimum active)
Firewall Manager,Policy compliance history > 365 days old,No recent policy enforcement activity,Security policy compliance archive (1-3 years),S3 Glacier for compliance report archives,Centralized security compliance archive - SOC2/PCI-DSS,S3 Glacier cost vs active Firewall Manager policy charges
Network Firewall,Firewall log archive > 365 days old,No recent firewall traffic,Network security audit retention (1-7 years),S3 Glacier for firewall log archives,Network security compliance audit - SOC2/PCI-DSS,S3 Glacier cost vs active Network Firewall ($0.395/endpoint/hour)
Certificate Manager,Certificate history > 365 days post-expiry,No recent certificate renewals or deployments,Certificate audit trail (3-7 years for compliance),N/A - Certificate metadata only (no storage tier),PKI compliance audit trail - SOC2/PCI-DSS,No cost for expired certificate records
Organizations,Policy version history > 365 days old,No recent organizational unit changes,Governance audit trail (7 years for compliance),S3 Glacier for CloudTrail org management events,Governance compliance archive - SOC2/ISO 27001,S3 Glacier cost for org trail vs active CloudWatch Logs
Control Tower,Landing zone audit logs > 365 days old,No recent account vending activity,Governance compliance audit (7 years),S3 Glacier for Control Tower audit logs,Multi-account governance compliance - SOC2/ISO 27001,S3 Glacier cost for audit logs vs active CloudWatch Logs retention
Service Catalog,Portfolio version archive > 365 days old,No recent product launches from portfolio,Product catalog history (1-3 years),S3 Glacier for service catalog product archives,IT governance compliance - SOC2/ITIL,S3 Glacier cost vs active Service Catalog portfolio storage
License Manager,License consumption history > 365 days old,No recent license allocation activity,License audit trail (3-7 years for compliance),S3 Glacier for license tracking exports,Software license compliance - SAM/ISO 19770,S3 Glacier cost vs active CloudWatch Logs for license tracking
Trusted Advisor,Check result history > 365 days old,No recent Trusted Advisor check refreshes,Best practice audit trail (1-3 years),S3 export with Glacier transition,Cloud optimization compliance history - SOC2,S3 Glacier cost vs active Trusted Advisor (Business/Enterprise plans)
Compute Optimizer,Recommendation history > 365 days old,No recent resource optimization analysis,Optimization recommendation archive (1-2 years),S3 Glacier for recommendation exports,Resource efficiency audit trail - SOC2,S3 Glacier cost vs active Compute Optimizer recommendations
Cost Explorer,Cost data export > 7 years old,No recent cost analysis queries,Financial record retention (7 years for IRS/tax compliance),S3 Glacier for cost data exports,Financial compliance archive - IRS 7-year retention requirement,S3 Glacier cost vs active Cost Explorer query charges
Budgets,Budget history > 3 years old,No recent budget alerts or modifications,Financial governance archive (3-7 years),S3 Glacier for budget history exports,Financial governance compliance - SOC2/financial audit,S3 Glacier cost vs active Cost Explorer and Budgets
Grafana,Dashboard version archive > 365 days old,No recent dashboard access or updates,Monitoring history archive (1-3 years),S3 Glacier for dashboard configuration exports,Monitoring compliance audit - SOC2,S3 Glacier cost vs active Managed Grafana workspace ($9/active user/month)
Prometheus,Metric data > 150 days old,No recent metric queries,Long-term metric archive (1-3 years),S3 Glacier for Prometheus metric exports (Thanos/Cortex pattern),Operational metrics compliance - SOC2,S3 Glacier cost vs active Amazon Managed Prometheus ($0.90/million samples)
DevOps Guru,Insight archive > 90 days old,No recent anomaly detections,DevOps intelligence archive (1-3 years),S3 Glacier for insight exports,Application reliability compliance - SOC2,S3 Glacier cost vs active DevOps Guru per-resource charges
Resilience Hub,Assessment archive > 365 days old,No recent resilience assessments,Resilience compliance archive (1-3 years),S3 Glacier for assessment report exports,Business continuity compliance archive - SOC2/ISO 22301,S3 Glacier cost vs active Resilience Hub assessment charges
Fault Injection Simulator,Experiment archive > 365 days old,No recent chaos engineering experiments,Experiment result archive (1-2 years),S3 Glacier for experiment report exports,Chaos engineering audit trail - SOC2/DR compliance,S3 Glacier cost vs active FIS experiment execution
Incident Manager,Incident archive > 365 days old,No recent incident responses,Incident response archive (3-7 years for compliance),S3 Glacier for incident response exports,Incident management compliance archive - SOC2/ITIL,S3 Glacier cost vs active Incident Manager engagement usage
FinSpace,Dataset version archive > 365 days old,No recent financial data queries,Financial data archive (7 years for SEC/FINRA compliance),S3 Glacier for FinSpace dataset exports,Financial data compliance - SEC/FINRA 7-year retention requirement,S3 Glacier cost vs active FinSpace environment (~$4500/month minimum)
HealthLake,FHIR data export > 7 years old,No recent health data queries,Healthcare data archive (HIPAA min 6 years; up to 10+ years per state requirements),S3 Glacier for FHIR data exports,HIPAA healthcare data archive - 6-year minimum (state laws may require longer),S3 Glacier cost vs active HealthLake datastore charges
HealthOmics,Genomic data > 7 years old,No recent genomic analysis runs,Genomic data archive (7-10 years for research compliance),S3 Glacier Deep Archive for genomic sequence data,HIPAA/NIH genomic data compliance archive,~95% cheaper in Glacier Deep Archive vs S3 Standard for large genomic files
HealthImaging,Medical image archive > 7 years old,No recent image queries or clinical access,Medical imaging archive (7-10 years - HIPAA/medical records),S3 Glacier Deep Archive for DICOM archives,HIPAA medical imaging compliance - 7-10 year retention,~95% cheaper in Glacier Deep Archive vs active DICOM storage
Clean Rooms,Collaboration result archive > 365 days old,No recent data collaboration queries,Data collaboration audit trail (1-3 years),S3 Glacier for query result archives,Data privacy compliance - GDPR/CCPA collaborative analytics,S3 Glacier cost vs active Clean Rooms collaboration charges
Entity Resolution,Match result archive > 365 days old,No recent entity matching workflows,Data quality audit trail (1-3 years),S3 Glacier for match result exports,Data governance compliance - GDPR/CCPA,S3 Glacier cost vs active Entity Resolution matching charges
Data Exchange,Dataset subscription archive > 365 days old,No recent data downloads or API calls,Data subscription history (1-3 years),S3 Glacier for data export archives,Data governance compliance - SOC2,S3 Glacier cost vs active Data Exchange subscription fees
Data Firehose,Delivery log archive > 365 days old,No recent data delivery activity,Data pipeline audit trail (1-3 years),S3 Glacier for Firehose output archives,Data streaming compliance audit - SOC2/PCI-DSS,S3 Glacier cost vs active Firehose data ingestion charges
Pinpoint,Campaign archive > 365 days old,No recent message sends or campaign activity,Marketing data archive (1-3 years - GDPR compliance),S3 Glacier for campaign and analytics exports,Marketing data compliance - GDPR/CAN-SPAM,S3 Glacier cost vs active Pinpoint message send charges
Simple Email Service,Email log archive > 365 days old,No recent email sends,Email communication archive (1-7 years for compliance),S3 Glacier for email log and bounce archives,Email compliance archive - CAN-SPAM/GDPR/SOC2,S3 Glacier cost vs active SES per-email charges
Chime,Meeting/call log archive > 365 days old,No recent communication activity,Communication compliance archive (1-7 years for FINRA),S3 Glacier for communication log exports,Communication compliance - FINRA/HIPAA/SOC2,S3 Glacier cost vs active Chime per-user charges
Connect,Contact record archive > 7 years old,No recent customer contact activity,Customer interaction archive (7 years for compliance),S3 Glacier for contact trace records and recordings,Customer service compliance - HIPAA/SOC2/PCI-DSS,S3 Glacier cost vs active Connect contact center charges
WorkDocs,Document version archive > 365 days old,No recent document access or modifications,Document compliance retention (7 years for business records),S3 Glacier for document version archives,Document management compliance - SOC2/legal hold,S3 Glacier cost vs active WorkDocs storage ($0.023/GB-month)
WorkMail,Email archive > 7 years old,No recent email activity or mailbox access,Email compliance archive (7 years - SEC/FINRA),S3 Glacier for email export archives,Email compliance archive - SEC/FINRA 7-year retention,S3 Glacier cost vs active WorkMail mailbox ($4/user/month)
GameLift,Game server build archive > 365 days old,No recent game session activity,Game binary archive (1-3 years),S3 Glacier for game server build archives,Game platform version history - SOC2,S3 Glacier cost vs active GameLift instance charges
Managed Blockchain,Block data archive > 7 years old,No recent blockchain write activity,Immutable ledger archive (7+ years for financial compliance),S3 Glacier for blockchain ledger exports,Blockchain financial compliance - SEC/FINRA immutability,S3 Glacier cost vs active Managed Blockchain node charges
Ground Station,Telemetry data archive > 365 days old,No recent satellite contact scheduling,Satellite data archive (1-3 years for mission data),S3 Glacier Deep Archive for telemetry data,Mission data compliance archive - FISMA/FedRAMP,S3 Glacier Deep Archive cost vs active Ground Station contact fees
IoT Core,Device telemetry archive > 365 days old,No recent device message activity,IoT telemetry archive (1-7 years for compliance),S3 Glacier for IoT telemetry exports,IoT data compliance - SOC2/ISO 27001,S3 Glacier cost vs active IoT Core message charges
IoT Analytics,Dataset content > 365 days old,No recent pipeline executions or queries,IoT analytics archive (1-3 years),S3 Glacier for dataset exports,IoT data governance compliance - SOC2,S3 Glacier cost vs active IoT Analytics pipeline charges
IoT Greengrass,Deployment history > 365 days old,No recent device deployments,Edge deployment audit trail (1-3 years),S3 Glacier for deployment manifest archives,IoT edge compliance audit - SOC2/ISO 27001,S3 Glacier cost vs active Greengrass device registration
IoT SiteWise,Asset time-series data > 365 days old,No recent asset data queries,Industrial telemetry archive (1-7 years),S3 Glacier for SiteWise data exports (cold tier),Industrial IoT compliance - ISO 50001/SOC2,S3 Glacier cost vs active SiteWise storage ($0.076/GB-month)
Lookout for Equipment,Model inference archive > 365 days old,No recent anomaly detection activity,Predictive maintenance archive (1-3 years),S3 Glacier for inference result exports,Industrial ML compliance archive - SOC2,S3 Glacier cost vs active Lookout for Equipment inference charges
Kendra,Index snapshot > 365 days old,No recent document queries or index updates,Enterprise search audit trail (1-3 years),S3 Glacier for index and document archives,Enterprise search compliance - SOC2/HIPAA,S3 Glacier cost vs active Kendra index ($810/month Developer Edition)
Lex,Bot version archive > 365 days old,Version not invoked in 180 days,Conversational AI audit trail (1-3 years),Versioned bot storage with S3 archive for conversation logs,Conversational AI compliance - HIPAA/SOC2,S3 Glacier cost vs active Lex request charges ($0.004/request)
Polly,Synthesis history archive > 365 days old,No recent speech synthesis activity,Audio archive for compliance (1-3 years),S3 Glacier for synthesized audio archives,Text-to-speech compliance audit - HIPAA/SOC2,S3 Glacier cost vs active Polly per-character charges
Transcribe,Transcription job archive > 365 days old,No recent transcription activity,Audio transcription archive (1-7 years for compliance),S3 Glacier for transcription output archives,Speech-to-text compliance - HIPAA (Medical)/SOC2,S3 Glacier cost vs active Transcribe per-minute charges
Translate,Translation job archive > 365 days old,No recent translation activity,Translation history (1-3 years for compliance),S3 Glacier for translation output archives,Content translation compliance audit - SOC2/GDPR,S3 Glacier cost vs active Translate per-character charges
Comprehend,Analysis job archive > 365 days old,No recent NLP processing activity,NLP analysis archive (1-3 years for compliance),S3 Glacier for analysis result archives,NLP compliance archive - HIPAA/SOC2/GDPR,S3 Glacier cost vs active Comprehend per-unit charges
Rekognition,Image/video analysis archive > 365 days old,No recent computer vision activity,Visual analysis archive (1-3 years for compliance),S3 Glacier for analysis result and metadata archives,Computer vision compliance - HIPAA/GDPR/SOC2,S3 Glacier cost vs active Rekognition per-image charges
Textract,Document extraction archive > 365 days old,No recent document processing activity,Document processing archive (7 years for financial/legal),S3 Glacier for extracted data archives,Document compliance archive - SOC2/HIPAA/legal,S3 Glacier cost vs active Textract per-page charges
Forecast,Forecast model archive > 365 days old,No recent prediction queries,Demand forecasting archive (1-3 years),S3 Glacier for forecast result exports,Time-series forecasting compliance - SOC2,S3 Glacier cost vs active Forecast predictor charges
Personalize,Recommendation model archive > 365 days old,No recent recommendation queries,ML recommendation model archive (1-3 years),S3 Glacier for model and training data archives,Personalization data compliance - GDPR/CCPA/SOC2,S3 Glacier cost vs active Personalize solution version charges
Fraud Detector,Model version archive > 365 days old,Version not recently used for predictions,Fraud detection model archive (7 years for financial compliance),S3 Glacier for model metadata and training data,Fraud compliance archive - PCI-DSS/SOC2/SEC,S3 Glacier cost vs active Fraud Detector prediction charges
Bedrock,Model invocation log > 365 days old,No recent model invocations or fine-tuning,AI/ML audit trail (1-3 years for compliance),S3 Glacier for model invocation logs,AI governance compliance - SOC2/GDPR,S3 Glacier cost vs active Bedrock per-token charges
SageMaker,Model artifact age > 180 days with no endpoint deployment,No recent training or inference activity,ML model version archive (1-3 years),S3 Glacier for model artifacts and datasets,ML model governance compliance - SOC2/HIPAA,S3 Glacier cost vs active SageMaker instance and endpoint charges
Batch,Job history archive > 365 days old,No recent batch job submissions,Batch processing audit trail (1-3 years),S3 Glacier for batch job log archives,Batch compute compliance audit - SOC2,S3 Glacier cost vs active Batch EC2/Fargate instance charges
Managed Apache Airflow,DAG run history > 365 days old,No recent workflow executions,Workflow orchestration audit trail (1-3 years),S3 Glacier for Airflow log and DAG archives,Workflow compliance audit - SOC2/data lineage,S3 Glacier cost vs active MWAA environment ($0.49/hour minimum)
Managed Apache Flink,Application snapshot > 365 days old,No recent streaming job activity,Stream processing audit trail (1-3 years),S3 Glacier for application state snapshots,Streaming compliance archive - SOC2,S3 Glacier cost vs active Flink KPU charges ($0.11/KPU-hour)
